t,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,thetaDOT_1,thetaDOT_2,thetaDOT_3,thetaDOT_4,thetaDOT_5,thetaDOT_6
0.736,-0.1811,-1.4432,0.86558,-0.6154,-1.7462,1.4016,0.77066576,-0.34851393,0.55992437,-0.82356474,-1.44320457,0.64342451
0.744,-0.17631,-1.4457,0.86965,-0.6211,-1.7552,1.4056,0.63255081,-0.32475005,0.51710764,-0.73629923,-1.18928055,0.52580084
0.752,-0.17163,-1.4483,0.87374,-0.62672,-1.7641,1.4095,0.57874304,-0.31470502,0.50428875,-0.698405,-1.09141298,0.48061244
0.76,-0.16657,-1.4511,0.87837,-0.63295,-1.7736,1.4137,0.60245374,-0.32548556,0.52987176,-0.72026348,-1.13759226,0.50160022
0.768,-0.16088,-1.4548,0.88424,-0.64081,-1.7844,1.4184,0.66588616,-0.39665884,0.64064694,-0.85967417,-1.26095384,0.55391609
0.776,-0.1543,-1.4598,0.89206,-0.65122,-1.7969,1.4239,0.76320603,-0.53433245,0.84383683,-1.12555897,-1.45117655,0.63218092
0.784,-0.14713,-1.466,0.90155,-0.66386,-1.8107,1.4298,0.87397393,-0.71334299,1.10282996,-1.46879521,-1.66879611,0.7202267
0.792,-0.1401,-1.4726,0.91165,-0.67732,-1.8242,1.4356,0.90318216,-0.81672459,1.24744689,-1.66104792,-1.73037242,0.74290039
0.8,-0.13392,-1.479,0.92133,-0.69021,-1.8361,1.4407,0.8388519,-0.82972987,1.25623095,-1.67352806,-1.61277686,0.69072652
0.808,-0.12877,-1.4849,0.93007,-0.70185,-1.846,1.4449,0.70409647,-0.76719446,1.15293546,-1.53674439,-1.35985568,0.58230105
0.816,-0.12442,-1.49,0.93779,-0.71208,-1.8545,1.4486,0.5893304,-0.68715216,1.03047845,-1.37004082,-1.14312622,0.49036758
0.824,-0.12062,-1.4944,0.94448,-0.72087,-1.8619,1.4518,0.5036991,-0.59547309,0.89825856,-1.18548897,-0.97993742,0.42228412
0.832,-0.117,-1.4987,0.95098,-0.72936,-1.8689,1.4548,0.45381415,-0.52158329,0.79637223,-1.04010903,-0.88422958,0.38359988
0.84,-0.11308,-1.5037,0.95867,-0.73948,-1.8766,1.4582,0.46156438,-0.56290285,0.85756579,-1.12267637,-0.90215449,0.39268654
0.848,-0.10844,-1.5105,0.96877,-0.75297,-1.8857,1.4621,0.52868369,-0.72714885,1.09235462,-1.44814468,-1.03736804,0.45099939
0.856,-0.10328,-1.5188,0.98099,-0.76944,-1.8959,1.4665,0.62333228,-0.95756013,1.41934227,-1.90518436,-1.22715652,0.53215612
0.864,-0.098125,-1.5277,0.99412,-0.78732,-1.9061,1.471,0.65597132,-1.09451501,1.60962841,-2.18071816,-1.29515859,0.56196527
0.872,-0.093479,-1.5366,1.007,-0.80507,-1.9153,1.475,0.62122649,-1.12843265,1.64947395,-2.25595451,-1.23078866,0.53597373
0.88,-0.089496,-1.5448,1.019,-0.82166,-1.9233,1.4785,0.5390237,-1.07597077,1.56467011,-2.16155616,-1.07261204,0.47018733
0.888,-0.08616,-1.5521,1.0295,-0.83635,-1.9299,1.4814,0.45704646,-0.97699198,1.4169363,-1.9709004,-0.91291711,0.40290873
0.896,-0.083424,-1.5582,1.0383,-0.84864,-1.9354,1.4839,0.37736454,-0.83322655,1.20895153,-1.68717223,-0.75570972,0.33580048
0.904,-0.081044,-1.5636,1.0462,-0.8597,-1.9402,1.486,0.31277592,-0.69774751,1.01509224,-1.41893651,-0.62741919,0.28078248
0.912,-0.078683,-1.5693,1.0546,-0.87148,-1.945,1.4882,0.28934292,-0.67863463,0.98682128,-1.38727856,-0.58186706,0.26212879
0.92,-0.076062,-1.5763,1.0646,-0.8857,-1.9503,1.4906,0.30782872,-0.77905286,1.12857402,-1.59867253,-0.62062944,0.28055024
0.928,-0.073251,-1.5844,1.0763,-0.9026,-1.9559,1.4932,0.34375099,-0.94760262,1.36570064,-1.95122951,-0.69445666,0.31424756
0.936,-0.070455,-1.5937,1.0896,-0.92189,-1.9616,1.4957,0.35475934,-1.09537119,1.56906935,-2.26869866,-0.71815503,0.32551162
0.944,-0.067867,-1.6038,1.1039,-0.94303,-1.9669,1.4981,0.34010555,-1.22078774,1.73639875,-2.5479661,-0.6902194,0.31367621
0.952,-0.065625,-1.6138,1.118,-0.96416,-1.9714,1.5002,0.30427488,-1.27916171,1.80776914,-2.68936439,-0.61919869,0.28230818
0.96,-0.063845,-1.6227,1.1305,-0.98302,-1.9751,1.5019,0.25383273,-1.20507607,1.69547146,-2.54700261,-0.51760659,0.23662861
0.968,-0.062591,-1.6298,1.1403,-0.99796,-1.9776,1.503,0.18883613,-0.99796255,1.39874375,-2.11961339,-0.3855518,0.17668285
0.976,-0.061685,-1.6355,1.1484,-1.0104,-1.9795,1.5039,0.12977382,-0.77751166,1.08608812,-1.66195086,-0.26520824,0.12200667
0.984,-0.060878,-1.6412,1.1563,-1.0225,-1.9811,1.5047,0.10186736,-0.69106203,0.96493008,-1.48761653,-0.20849187,0.09664856
0.992,-0.059993,-1.6476,1.1653,-1.0364,-1.9829,1.5055,0.10518317,-0.73900171,1.03581593,-1.59743633,-0.2155394,0.10067186
1,-0.05916,-1.655,1.1757,-1.0526,-1.9847,1.5063,0.11163949,-0.86424008,1.21219865,-1.87390225,-0.22887092,0.10694358
1.008,-0.058583,-1.6638,1.1878,-1.0716,-1.9858,1.5068,0.09242932,-1.00821212,1.40529608,-2.19647157,-0.18952204,0.08763001
1.016,-0.058416,-1.6736,1.2013,-1.0933,-1.9862,1.507,0.04758061,-1.17079037,1.61494357,-2.56485784,-0.09755016,0.04275954
1.024,-0.058628,-1.6838,1.2151,-1.1157,-1.9857,1.5067,-0.0042703,-1.27193882,1.73809958,-2.79891316,0.00878005,-0.00879682
1.032,-0.059148,-1.6932,1.2278,-1.1364,-1.9847,1.5062,-0.04723721,-1.24343218,1.68692817,-2.74507368,0.09685061,-0.05095278
1.04,-0.059887,-1.7011,1.2385,-1.154,-1.9832,1.5054,-0.08128004,-1.08599381,1.46243602,-2.40494086,0.16657985,-0.08367147
1.048,-0.060704,-1.7078,1.2475,-1.169,-1.9815,1.5046,-0.10046137,-0.90681446,1.213799,-2.01583149,0.20586838,-0.10148919
1.056,-0.061445,-1.7138,1.2555,-1.1823,-1.98,1.5039,-0.10053393,-0.78257175,1.04772828,-1.74750724,0.20606107,-0.10049753
1.064,-0.062096,-1.7195,1.2632,-1.1951,-1.9786,1.5032,-0.08215404,-0.71367446,0.96455965,-1.6008647,0.16849664,-0.08134399
1.072,-0.06301,-1.7257,1.2716,-1.2091,-1.9768,1.5023,-0.08914839,-0.72741936,0.98671643,-1.63577417,0.18257101,-0.08726483
1.08,-0.064602,-1.7332,1.2816,-1.2259,-1.9735,1.5008,-0.14800837,-0.84030618,1.12775253,-1.8884247,0.30232019,-0.14439456
1.088,-0.067092,-1.7423,1.2935,-1.2463,-1.9684,1.4984,-0.25723884,-1.04845244,1.38281414,-2.35015827,0.52467596,-0.25123042
1.096,-0.070249,-1.752,1.3061,-1.2681,-1.962,1.4953,-0.35911034,-1.20194723,1.56448545,-2.68667133,0.73116864,-0.34974821
1.104,-0.073777,-1.7615,1.3182,-1.2891,-1.9549,1.4919,-0.424006,-1.22388196,1.57661683,-2.72645667,0.86101989,-0.41017987
1.112,-0.077395,-1.7699,1.3289,-1.3076,-1.9476,1.4885,-0.4520739,-1.11786895,1.42411379,-2.47785085,0.91461118,-0.43277536
1.12,-0.080847,-1.7771,1.338,-1.3236,-1.9406,1.4852,-0.44707725,-0.97570619,1.23163876,-2.15270866,0.90163659,-0.42388688
